date,event,role
"2018.10","[東大Cabli](https://www.ipmu.jp/ja/2018102627-OpenHouse2018)","データ処理"
"2019.11","EdovationSummit","プレゼンテーション"
"2019.03","SXSW Edu 2019","プレゼンテーション"
"2019.08","[みなとアートミュージアム「そして想像し逢う」もにぃ](https://minato-media-museum.com/information/)","インターフェース・システムプログラミング"
"2019.08","梅屋敷盆踊り大会 インタラクティブコンテンツ","システムプログラミング"
"2019.09","[Ableton and Max Community Japan #004 「黒服限定」](https://ableton-and-max-community-japan.github.io/2019/09/28/regularEvent-004/)","トーク"
"2019.11","TParty / 筑波大学雙峰祭前夜祭ライブ「ゆらぎ」","システムプログラミング,クラフト"
"2020.02","[evala / “耳で視る”サウンドスケープ「聴象発景」Rittor Base Ver.](https://rittorbase.jp/event/166/)","照明システム"
"2020.04","[MAST17→20](https://www.youtube.com/channel/UC_Wf3NUnU9R262rCA1TCo2Q)","ライブストリーミング,トーク"
"2020.06","[「Unperpendiculaire mesdemoiselle / 非垂直女子」](https://www.youtube.com/watch?v=XqVY7cO24AU)","ライブストリーミング"
"2020.12","松浦妃那「みているのは誰」","システムプログラミング,機材提供"
"2021.01","[TParty / invisible](https://youtu.be/OuAM-EueCBM)","テクニカルディレクション,演出,照明,センシングデバイス"
"2021.02","rhizomatiks / [border 2021](https://border.dance/)","サウンドテクニカルサポート"
"2021.03","[rhizomatiks / ""Gold Rush"" - Visualization + Sonification of Opensea activity (2021)](https://www.youtube.com/watch?v=j3XBUCJkc8M)","サーバーサイドプログラミング"
"2021.03","[ENDLESS IMAGINARY](https://rhizomatiks.com/s/event/endlessimaginary/)","出展アーティスト"
"2021.04","[evala / Synesthesia X1-2.44 ＜波象/Hazo＞](https://seebyyourears.jp/news/813/)","Visual Programming & System Development"
"2021.05","[Namikawa × Rensho Juggling Movie](https://www.youtube.com/watch?v=yDQJPHuUc6Q)","cigarbox & movie edit"
"2021.09","[evala / 聴象発景 in Rittor Base - Live Performance ver Ars Electronica 2021](https://jmaf-promote.jp/art2021/evala/)","MotionCapture/LightingAssist/Shooting&ImageSwitching"
"2021.11","[TParty / シブキ](https://www.youtube.com/watch?v=tRubYTfBBGc)","Executive Producer"
"2021.12","[デジタルコンテンツ表現実習制作展2021 ~Beyond Internet~](https://digicon.mast.tsukuba.ac.jp/)","Director / Artist"
"2022.12","[evala / -a @ 21_21 DESIGN SIGHT ""The Year 2121: Futures In-Sight""](https://evala.jp/a-21_21-DESIGN-SIGHT-The-Year-2121-Futures-In-Sight)","設営協力"
"2022.02","[Kosaku Namikawa & Yuta Okuyama / trajectory @ Panasonic TOUCH展](https://twitter.com/sozo_youth/status/1496729616349753345?s=20&t=719GCmaBvoDHcKDCS0BJhg)","Interaction Design / System Programming"
"2022.05","[Kosaku Namikawa / scrolling @ SICF23](https://www.sicf.jp/information/)","Artist"
