date,event
"2018.11.18","[Algorave x NxPC.Lab at Tokyo (IAMAS)](https://circus-tokyo.jp/event/algorave-x-nxpc-lab-at-tokyo-iamas/)"
"2018.12.08","[Ableton and Max Fes. 2018](https://ableton-and-max-community-japan.github.io/2018/11/10/aamf-2018/)"
"2018.12.21","[Source CORD Vol.2](https://kagurane.com/schedules/view/852)"
"2019.02.16","[TONIGHT, TONIGHT FEAT.MADZINE](https://ochiaisoup.com/?p=3185)"
"2019.04.27","BE ArtisT."
"2019.05.11","LaunchParty"
"2019.06.29","[極寒SESSION VOL.4](https://iflyer.tv/en/event/315099/)"
"2019.08.16","[ACOUSTICLUB Vol.4](https://mediainteraction.tokyo/acousticlubvol4/)"
"2019.12.20","[RHIZOMATIKS YEAR END PARTY 2019 “THE CODE AND MEMORY”](https://rhizomatiks.com/s/event/year_end_2019/)"
"2020.09.25","[DJ VJ Session @ Playing Tokyo by rhizomatiks](https://playing.super-flying.tokyo/)"
"2020.11.29","[Audio Visual Set by TParty @TEDxUTsukuba 'JIJIMUGE'](https://www.youtube.com/watch?v=g0VnhGBPXOE)"
